family support;competition;appearance;God's love;accademic competence;virtue;other's approval
29;19;20;20;30;26;22
28;29;28;5;32;32;20
27;8;11;5;30;29;15
33;18;31;17;32;29;25
20;25;18;28;26;22;14
27;23;23;5;25;24;18
32;27;22;5;25;23;6
27;22;15;6;27;30;16
30;30;26;7;34;25;33
29;17;21;17;28;23;17
31;25;24;5;28;20;20
29;25;29;10;29;30;22
33;23;26;5;32;24;18
26;27;22;5;27;28;21
24;32;27;35;30;34;21
30;12;27;10;24;29;32
20;30;14;8;30;31;14
19;28;15;5;33;27;15
26;25;22;5;26;28;15
28;29;24;23;30;34;26
16;5;14;11;12;23;5
29;23;20;6;30;29;22
25;24;20;28;30;20;22
23;32;23;23;29;22;21
20;20;18;5;28;26;12
22;28;11;31;33;25;6
27;30;21;33;31;28;27
27;29;24;5;28;29;12
34;20;29;32;10;32;26
28;21;17;19;27;28;33
19;27;14;5;30;10;11
25;7;22;5;24;32;18
24;18;20;5;18;20;11
32;32;23;12;35;23;24
25;26;16;9;25;25;22
32;32;26;5;29;32;18
21;27;23;24;27;27;21
31;30;30;5;33;14;14
30;32;27;28;34;26;23
21;22;12;5;24;22;8
26;32;27;23;30;12;22
25;34;17;31;30;34;10
28;34;22;5;35;32;24
24;29;23;5;25;26;23
25;6;22;5;22;21;12
28;22;18;5;21;24;14
24;27;22;24;30;30;18
21;28;23;5;29;20;16
23;12;11;8;24;25;19
22;33;28;5;34;35;25
32;19;15;34;28;33;22
30;34;26;13;35;25;26
27;15;16;35;25;29;28
19;25;27;21;32;33;19
27;26;23;5;29;24;17
27;20;21;8;27;28;27
21;25;11;10;25;31;14
29;30;30;6;30;23;29
31;29;23;6;31;21;23
31;35;28;34;35;28;21
23;20;20;8;16;23;16
10;18;26;5;23;28;10
28;30;24;5;31;17;21
29;28;26;10;27;26;27
31;25;20;9;28;25;28
16;22;16;5;24;19;14
31;27;23;31;30;28;26
30;26;25;22;28;25;22
25;24;19;5;23;21;20
25;30;24;20;30;22;14
26;23;22;27;26;33;19
27;23;23;17;33;23;21
27;30;23;17;30;23;23
28;28;20;31;26;28;23
21;29;15;7;30;20;21
25;30;26;8;34;22;12
21;20;20;5;27;28;30
25;30;19;11;29;16;22
30;25;26;13;27;26;29
17;35;24;17;35;35;26
19;20;18;8;29;29;15
18;27;23;22;26;28;11
30;27;22;23;22;27;15
29;27;26;5;30;28;20
27;29;21;12;29;22;22
14;13;9;5;14;19;14
33;27;27;8;31;31;6
26;27;27;5;29;24;25
29;30;24;20;30;21;24
18;26;25;5;18;28;9
24;14;23;18;25;16;20
32;23;23;19;24;26;14
21;25;25;5;26;17;26
31;25;29;20;25;30;25
21;19;30;22;23;23;26
23;9;17;5;25;24;19
33;32;28;31;31;26;32
15;25;18;5;26;17;14
23;19;28;20;28;24;25
24;29;24;10;23;29;28
23;32;21;8;27;20;5
26;27;24;5;29;20;22
27;32;17;20;29;12;20
27;24;16;5;26;12;11
16;23;5;26;7;32;22
26;27;23;5;23;18;17
20;24;18;27;23;28;9
29;28;25;20;28;22;16
33;27;30;24;29;24;16
21;25;24;5;29;26;14
31;25;24;13;32;20;24
20;30;22;6;30;17;28
28;33;25;6;29;19;23
24;25;29;20;25;29;26
24;25;25;10;25;22;21
31;26;21;5;31;30;19
22;21;23;7;27;17;28
26;17;20;5;25;26;21
32;30;18;28;32;25;15
30;14;20;10;32;24;23
16;24;25;14;20;29;29
22;34;25;5;28;22;27
29;25;31;20;30;27;27
28;11;23;5;16;11;14
23;26;27;8;19;20;6
26;23;20;5;28;12;29
22;20;23;5;29;17;5
32;30;25;5;32;33;24
26;11;16;20;18;21;20
23;27;28;5;16;15;10
25;25;15;5;31;20;13
30;21;16;20;28;26;18
33;28;19;13;35;30;30
24;27;27;5;30;23;22
29;29;28;17;30;28;27
20;18;27;5;21;14;19
31;26;21;5;20;17;17
31;31;29;5;33;19;28
31;27;20;5;28;26;8
30;33;12;5;29;34;19
26;29;20;5;34;28;20
12;12;15;5;21;30;18
16;24;29;5;26;27;28
21;20;14;16;24;25;23
29;27;27;5;29;23;25
28;27;23;5;31;28;22
29;23;24;29;24;23;17
24;24;17;5;26;20;23
26;18;21;5;25;27;21
32;33;25;35;28;29;18
31;19;18;5;22;19;16
25;25;24;5;26;29;26
21;15;23;9;26;27;22
26;23;20;5;27;23;14
25;27;22;30;29;30;15
33;24;17;35;26;28;15
28;30;21;5;30;29;8
25;11;15;5;17;34;11
23;14;20;5;26;30;16
32;35;22;22;34;35;10
23;34;14;35;28;27;6
23;24;21;6;25;30;16
25;18;17;33;24;22;13
17;15;23;5;21;18;17
33;19;30;5;35;21;28
33;23;18;29;23;21;30
18;23;20;20;18;17;22
20;29;31;5;20;22;19
27;8;24;5;14;11;20
29;11;21;5;22;14;25
29;21;13;5;28;24;13
24;22;21;5;29;30;16
21;24;17;6;28;27;15
34;25;19;34;33;31;21
32;32;27;25;31;27;30
20;12;18;5;27;20;21
29;28;28;5;32;29;26
29;27;27;5;32;20;29
29;20;23;35;17;23;8
30;9;17;5;25;30;16
24;27;22;5;24;21;26
27;20;27;5;26;29;28
35;35;19;5;35;31;14
27;20;18;5;21;25;5
23;25;26;5;21;21;27
24;24;21;26;30;24;27
33;26;28;5;28;35;21
7;24;29;6;35;23;7
29;30;21;5;29;25;34
27;25;26;24;31;31;23
19;17;13;5;10;17;17
23;12;24;17;18;21;15
30;32;29;5;31;21;28
23;23;21;5;25;19;10
35;35;24;32;34;23;27
20;26;19;16;26;21;8
30;17;12;35;22;27;22
27;17;23;5;28;13;22
32;34;27;21;35;25;33
28;23;25;5;29;31;31
32;17;13;21;27;20;25
30;27;25;5;25;28;27
29;29;21;20;34;30;9
23;25;15;10;29;29;21
28;15;14;31;27;32;16
28;26;22;21;25;34;22
26;18;22;7;30;22;15
25;25;13;23;35;31;8
19;27;22;8;26;28;14
27;22;21;32;31;25;9
35;20;19;5;35;33;21
25;22;17;5;29;20;13
10;11;20;27;29;27;9
28;24;23;11;34;23;33
19;35;18;5;18;33;5
27;28;14;20;22;22;15
23;27;23;5;30;30;28
32;31;24;24;35;30;16
25;22;17;16;22;25;14
24;19;18;20;25;22;18
30;34;26;5;33;23;27
25;30;18;20;30;30;14
18;14;9;5;33;34;8
24;25;24;5;26;24;22
33;27;20;22;20;30;18
19;23;29;5;28;28;22
22;18;16;5;25;15;20
24;18;25;10;23;30;28
33;23;27;9;29;34;9
23;20;25;16;28;31;21
20;32;22;7;28;24;17
33;25;29;18;28;27;25
20;6;7;5;9;22;10
18;23;27;5;30;11;29
19;18;25;9;22;20;23
26;23;23;5;25;28;25
26;27;23;15;27;30;23
23;25;24;21;30;21;8
25;24;21;5;31;23;14
33;24;22;21;33;26;18
26;17;8;20;18;24;5
22;7;23;20;28;24;20
17;29;25;18;30;26;21
28;33;25;16;34;23;13
29;30;22;6;29;30;13
26;33;28;5;35;18;16
20;17;12;14;16;25;23
28;30;25;20;29;28;23
30;26;20;28;27;23;20
28;5;16;5;20;29;14
23;11;16;5;28;30;23
26;28;20;21;25;29;15
21;25;10;6;35;8;5
24;29;20;23;26;22;21
20;16;18;5;24;24;9
29;20;24;12;22;27;18
27;26;24;16;30;20;27
29;20;22;5;29;26;32
30;31;28;22;30;30;24
32;28;17;5;29;29;25
27;22;19;7;23;20;18
35;28;22;19;33;30;26
19;17;14;5;14;18;22
9;32;32;9;23;13;25
24;20;29;26;24;15;18
28;26;26;22;31;31;19
23;30;25;5;24;25;12
27;18;28;14;25;29;10
24;22;26;20;27;26;22
26;19;22;9;24;27;12
25;23;23;9;27;24;17
33;21;29;20;31;28;32
23;28;23;6;30;28;22
18;18;21;6;32;28;15
31;28;23;14;28;23;17
35;29;20;10;26;23;35
23;23;21;23;27;26;21
29;10;19;16;19;28;6
29;24;26;5;18;27;11
23;21;19;6;29;18;15
34;30;30;5;31;29;29
19;13;17;5;19;15;9
28;33;26;5;33;23;14
23;24;20;21;24;22;25
32;30;27;5;30;25;26
21;19;21;5;26;20;21
27;24;21;5;22;32;16
20;13;18;10;18;24;21
24;28;30;5;27;15;15
28;24;23;10;22;28;23
29;20;25;7;31;17;22
20;28;34;5;31;21;31
31;13;13;5;29;31;16
32;31;26;20;32;30;19
24;30;24;5;31;25;15
21;27;26;5;30;14;20
29;27;32;11;35;22;28
19;17;17;18;21;16;29
26;25;23;9;28;20;26
19;20;10;5;33;33;14
29;23;20;21;28;25;23
18;20;21;11;21;16;11
26;24;21;16;28;21;17
24;20;20;35;26;30;14
28;35;17;34;31;30;22
22;26;21;27;23;25;20
20;7;12;5;9;22;11
30;30;17;7;31;30;16
30;35;23;5;35;19;32
26;21;18;14;28;16;17
31;26;24;10;31;27;25
10;12;5;5;12;15;11
28;24;24;15;22;28;21
25;35;32;7;35;27;32
18;22;20;20;20;19;24
34;23;23;5;28;18;18
17;26;16;5;30;26;22
21;30;27;10;30;27;16
26;25;17;11;30;31;16
27;28;17;5;26;19;7
26;23;26;7;27;20;29
